COD_EMPRESA;COD_FILIAL;PORTE;B_SOCIO;B_PEDIDO_DEMISSAO;QNT_MESES_ASSOC;PAGO_EM_DIA;PAGO_EM_DIA_POSTERGADO;PAGO_EM_ATRASO;EM_ABERTO;CAT_CARGO1;CAT_CARGO2;CAT_CARGO3;GRUPO1;GRUPO2;GRUPO3;GRUPO4;GRUPO5;GRUPO6;GRUPO7;GRUPO8;GRUPO9;GRUPO10;GRUPO11;TOTAL_PART_EVENTOS;MESES_SEM_PART
P |01|01||00000808|0001|;P |01|01|07|;P;0;1;6;0;1;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
P |01|01||23335049|0001|;P |01|01|12|;P;1;0;6;1;0;8;1;5;7;3;1;9;3;0;1;0;1;0;0;0;0;15;2
P |01|01||00000809|0001|;P |01|01|07|;P;0;1;6;3;3;1;3;7;0;2;1;2;1;0;3;1;1;0;0;0;0;9;0
P |01|01||00000814|0001|;P |01|01|08|;M;1;0;6;1;0;3;0;4;18;11;4;9;5;9;2;4;0;0;0;0;0;33;1
P |01|01||00000815|0001|;P |01|01|03|;P;1;0;6;6;0;7;1;12;0;2;0;2;0;0;5;7;0;0;0;0;0;14;1
P |01|01||00000842|0001|;P |01|01|03|;M;1;0;6;0;0;0;3;1;0;4;0;0;0;0;4;0;1;0;0;0;0;5;7
P |01|01||00000843|0001|;P |01|01|04|;P;1;0;6;2;0;8;1;12;0;2;2;3;1;7;0;1;0;0;0;0;0;14;1
P |01|01||13217453|0002|;P |01|01|10|;P;1;0;6;4;1;5;1;5;0;1;2;1;0;0;1;2;0;0;0;0;0;6;1
P |01|01||00000880|0001|;P |01|01|10|;P;0;1;2;0;0;3;0;2;0;1;0;0;0;0;0;2;1;0;0;0;0;3;0
P |01|01||00000881|0001|;P |01|01|14|;P;1;0;6;16;0;0;1;1;2;3;0;1;2;0;1;2;0;0;0;0;0;6;1
P |01|01||00000845|0001|;P |01|01|03|;P;1;0;6;6;1;0;1;6;0;13;0;6;0;0;1;12;0;0;0;0;0;19;1
P |01|01||00000846|0001|;P |01|01|15|;P;1;0;6;4;1;2;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1
P |01|01||00000848|0001|;P |01|01|06|;P;0;1;6;5;0;0;3;22;0;5;0;7;2;0;0;18;0;0;0;0;0;27;0
P |01|01||14502921|0001|;P |01|01|01|;P;1;0;6;1;0;0;0;6;0;4;1;1;1;0;0;1;4;0;2;0;0;10;0
P |01|01||00000849|0001|;P |01|01|04|;P;1;0;6;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1
P |01|01||00000850|0001|;P |01|01|04|;P;1;0;6;1;0;0;0;18;0;4;2;12;1;1;3;3;0;0;0;0;0;22;0
P |01|01||00000851|0001|;P |01|01|09|;P;1;0;6;1;0;9;1;14;0;2;2;0;4;1;5;4;0;0;0;0;0;16;1
P |01|01||00000852|0001|;P |01|01|01|;M;1;0;6;3;1;1;0;10;4;3;3;4;1;0;0;7;2;0;0;0;0;17;0
P |01|01||19804691|0001|;P |01|01|09|;M;0;1;4;1;0;3;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;3
P |01|01||00000854|0001|;P |01|01|04|;P;1;0;6;6;2;2;1;6;0;4;1;4;0;0;3;1;1;0;0;0;0;10;1
P |01|01||08711146|0001|;P |01|01|01|;P;1;0;6;5;2;4;1;5;4;0;2;3;2;0;0;2;0;0;0;0;0;9;2
P |01|01||29319151|0001|;P |01|01|12|;P;0;1;6;0;0;7;0;2;0;6;0;7;0;0;0;1;0;0;0;0;0;8;0
P |01|01||00000855|0001|;P |01|01|13|;P;0;1;6;4;2;0;3;4;2;4;0;1;0;2;2;5;0;0;0;0;0;10;0
P |01|01||00000856|0001|;P |01|01|08|;M;1;0;6;5;3;3;1;13;0;0;0;9;2;1;1;0;0;0;0;0;0;13;1
P |01|01||00000857|0001|;P |01|01|15|;P;0;1;6;0;0;0;3;1;1;1;0;2;0;0;1;0;0;0;0;0;0;3;5
P |01|01||00609634|0003|;P |01|01|01|;M;1;0;6;2;0;0;0;2;1;0;0;1;2;0;0;0;0;0;0;0;0;3;1
P |01|01||00000858|0001|;P |01|01|08|;P;1;0;6;1;0;0;0;22;0;3;0;9;3;6;2;1;3;0;0;1;0;25;0
P |01|01||29285786|0001|;P |01|01|01|;P;1;0;6;8;3;0;1;1;0;2;0;1;0;0;0;2;0;0;0;0;0;3;4
P |01|01||00000860|0001|;P |01|01|01|;P;0;1;6;3;2;1;3;4;4;3;0;0;1;0;0;4;6;0;0;0;0;11;0
P |01|01||00000862|0001|;P |01|01|10|;P;0;1;6;1;0;6;3;5;0;2;1;0;0;0;0;6;0;0;0;0;0;7;0
P |01|01||00000870|0001|;P |01|01|15|;P;1;0;6;4;2;5;1;5;0;7;3;5;2;0;1;0;1;0;0;0;0;12;0
P |01|01||00000871|0001|;P |01|01|14|;P;1;0;6;7;3;2;0;10;0;12;2;0;0;0;5;15;0;0;0;0;0;22;2
P |01|01||00000872|0001|;P |01|01|03|;P;0;1;4;1;1;8;0;13;0;0;0;2;0;0;0;6;5;0;0;0;0;13;0
P |01|01||00000873|0001|;P |01|01|01|;P;0;1;4;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;4;3
P |01|01||00000874|0001|;P |01|01|07|;P;1;0;6;4;1;8;1;16;0;0;0;1;1;1;3;10;0;0;0;0;0;16;0
P |01|01||00000876|0001|;P |01|01|04|;P;1;0;6;7;3;0;1;13;0;2;4;3;1;0;2;5;0;0;0;0;0;15;1
P |01|01||00000893|0001|;P |01|01|03|;P;1;0;6;5;1;5;1;1;11;29;4;7;0;0;4;23;3;0;0;0;0;41;0
P |01|01||00000902|0001|;P |01|01|01|;P;1;0;6;1;0;1;0;0;5;0;0;1;0;0;0;2;2;0;0;0;0;5;0
P |01|01||00000904|0001|;P |01|01|05|;P;0;1;6;1;0;1;3;0;1;4;0;0;1;0;3;0;0;0;0;1;0;5;2
P |01|01||00000896|0001|;P |01|01|03|;M;1;0;6;1;0;0;0;6;8;90;0;17;1;60;0;22;4;0;0;0;0;104;0
P |01|01||00001058|0001|;P |01|01|01|;P;1;0;6;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
P |01|01||26356125|0001|;P |01|01|01|;P;1;0;6;0;0;0;1;0;0;3;0;0;0;0;0;0;3;0;0;0;0;3;0
P |01|01||00000897|0001|;P |01|01|01|;M;1;0;6;1;0;0;0;4;1;2;0;5;1;0;0;1;0;0;0;0;0;7;5
P |01|01||29505538|0001|;P |01|01|04|;P;1;0;6;3;0;0;2;2;0;1;0;0;1;0;0;1;0;0;0;1;0;3;2
